job_id	job_name	state	exit_code	submit	start	end	elapsed	node_list
8235148	adp-cond-kwai-klear_swe-smit	FAILED	1:0	2026-06-01T18:45:52	2026-06-01T18:46:54	2026-06-01T18:50:02	00:03:08	babel-m5-32
8235149	adp-cond-logicstar_swe-star	CANCELLED by 17414	0:0	2026-06-01T18:45:52	2026-06-01T18:46:54	2026-06-01T18:58:22	00:11:28	babel-u5-24
8235150	adp-cond-scale_swe_distilled	CANCELLED by 17414	0:0	2026-06-01T18:45:52	2026-06-01T18:47:27	2026-06-01T18:58:22	00:10:55	babel-v5-32
8235151	adp-cond-hybrid-gym	FAILED	1:0	2026-06-01T18:45:52	2026-06-01T18:48:33	2026-06-01T18:49:17	00:00:44	babel-w5-20
8235152	adp-cond-nvidia_SWE-Zero-ope	CANCELLED by 17414	0:0	2026-06-01T18:45:52	2026-06-01T18:49:38	2026-06-01T18:58:22	00:08:44	babel-w5-20
8235153	adp-cond-gair_davinci_dev	FAILED	1:0	2026-06-01T18:45:52	2026-06-01T18:50:11	2026-06-01T18:50:13	00:00:02	babel-m5-32
8235154	adp-cond-allenai_Sera-4.6-Li	FAILED	1:0	2026-06-01T18:45:52	2026-06-01T18:50:11	2026-06-01T18:51:57	00:01:46	babel-w9-28
8235237	adp-cond-nebius_SWE-agent-tr	CANCELLED by 17414	0:0	2026-06-01T18:59:31	2026-06-01T18:59:37	2026-06-01T22:10:47	03:11:10	babel-u5-24
8235238	adp-cond-swe-gym_openhands_s	FAILED	1:0	2026-06-01T18:59:31	2026-06-01T18:59:37	2026-06-01T19:00:09	00:00:32	babel-w9-28
8235239	adp-cond-swe-smith	FAILED	1:0	2026-06-01T18:59:31	2026-06-01T18:59:37	2026-06-01T19:02:28	00:02:51	babel-x5-24
8235240	adp-cond-SALT-NLP_SWE-chat	FAILED	1:0	2026-06-01T18:59:31	2026-06-01T19:00:11	2026-06-01T19:00:15	00:00:04	babel-w9-28
8235241	adp-cond-codescout	FAILED	1:0	2026-06-01T18:59:31	2026-06-01T19:00:45	2026-06-01T19:04:15	00:03:30	babel-w5-32
8235242	adp-cond-jupyter-agent-datas	FAILED	1:0	2026-06-01T18:59:31	2026-06-01T19:00:45	2026-06-01T19:53:38	00:52:53	babel-w9-28
8235243	adp-cond-openhands	FAILED	1:0	2026-06-01T18:59:31	2026-06-01T19:01:19	2026-06-01T19:01:31	00:00:12	babel-p5-32
